rank,class_id,class_name,count,cum_pct
574,484,Salboheds,3,99.19869081880255
575,8,AGB Service,3,99.21561988601094
576,47,Babylon Pizzeria,3,99.23254895321935
577,367,Mellinger Bil,3,99.24947802042774
578,430,Pinewood,2,99.26076406523335
579,503,Sirius,2,99.27205011003893
580,303,Kopparberg,2,99.28333615484453
581,564,TTM,2,99.29462219965014
582,22,Alvinssons AB,2,99.30590824445574
583,307,Kvarteret GIRAFFEN,2,99.31719428926132
584,348,MFF Play,2,99.32848033406692
585,82,Brandtown,2,99.33976637887253
586,334,Lotus Hotel Group,2,99.35105242367813
587,201,Gaismeister AB,2,99.36233846848371
588,159,Ellénius Buss,2,99.37362451328931
589,256,ICA,2,99.38491055809492
590,297,Kappex AB,2,99.39619660290052
591,200,GOTSAFE,2,99.40748264770612
592,232,Hansson Kapell AB,2,99.4187686925117
593,268,Infometric,2,99.4300547373173
594,422,PacsOn,2,99.44134078212291
595,420,PEAB,2,99.45262682692851
596,360,Mattr,2,99.4639128717341
597,27,Arken,2,99.4751989165397
598,612,Varbergs Stadshotell & Asia Spa,2,99.4864849613453
599,152,Elektriske Svea,2,99.4977710061509
600,389,Nike tekst,2,99.50905705095649
601,528,Steelpro,2,99.52034309576209
602,530,Stena,2,99.53162914056769
603,320,Leads,2,99.54291518537329
604,142,EXIN,2,99.55420123017889
605,440,Prison Island,2,99.56548727498448
606,190,Fransson Bygg AB,2,99.57677331979008
607,323,Lesjöfors,2,99.58805936459568
608,52,Beijer Byggmaterial,2,99.59934540940128
609,125,Dick Johansson Skogstransporter AB,2,99.61063145420687
610,415,OnePartnerGroup,2,99.62191749901247
611,633,Werna Sportfiske AB,2,99.63320354381807
612,177,Finnveden NU,2,99.64448958862367
613,554,Södertörns Däckservice AB,2,99.65577563342926
614,649,duoplåt Plåtslageri,2,99.66706167823486
615,613,Varis Förvaltning,2,99.67834772304046
616,527,Stayhot,2,99.68963376784606
617,546,Svenska Höjdbolaget,2,99.70091981265166
618,137,EL & Energioptimering,1,99.70656283505446
619,413,Olle Lind Golv AB,1,99.71220585745725
620,261,IGS Capital,1,99.71784887986006
621,325,Libergs Sweden AB,1,99.72349190226285
622,470,SAB,1,99.72913492466566
623,184,Forenede Care,1,99.73477794706845
624,634,West Timber,1,99.74042096947124
625,228,Hammarstedt's Kyl & Inneklimat AB,1,99.74606399187405
626,234,Herrljunga cider,1,99.75170701427685
627,401,Norén & Lindholm,1,99.75735003667964
628,397,Nordström Advokater,1,99.76299305908245
629,231,Hanninge Terrazzology AB,1,99.76863608148524
630,314,LK Buss AB,1,99.77427910388805
631,155,Elitdecor,1,99.77992212629084
632,523,Sportway logo,1,99.78556514869364
633,543,Sundtorps Gård,1,99.79120817109644
634,40,BDS,1,99.79685119349924
635,21,Alvelid Engineering,1,99.80249421590204
636,295,Kalmar Sotning & Ventilation AB,1,99.80813723830484
637,538,Stranda,1,99.81378026070763
638,509,Skylt-Reklam,1,99.81942328311044
639,151,Elektrikerna i Nybro,1,99.82506630551323
640,91,Böda Sand,1,99.83070932791603
641,289,K-V Bygg,1,99.83635235031883
642,514,Solel,1,99.84199537272163
643,316,LM Stålteknik AB,1,99.84763839512443
644,642,Yaskawa,1,99.85328141752723
645,175,Fem Hjärtan Fastigheter,1,99.85892443993002
646,417,Oscar Hansson VVS,1,99.86456746233283
647,267,InfoPrint,1,99.87021048473562
648,561,TISAB Tak,1,99.87585350713843
649,577,The Mobile Life,1,99.88149652954122
650,573,Teleoption,1,99.88713955194402
651,88,Brunna Schakt,1,99.89278257434682
652,472,SE sol,1,99.89842559674962
653,596,UCS IT Solutions,1,99.90406861915241
654,308,Kvibergs Överskottslager AB,1,99.90971164155522
655,79,Borås Tidning,1,99.91535466395801
656,310,Kvinner For Fred,1,99.92099768636082
657,127,Dinner 22,1,99.92664070876361
658,66,Björklunds Kafferosteri tekst,1,99.93228373116641
659,96,CS Maskin,1,99.93792675356922
660,566,Tarkett,1,99.94356977597201
661,662,j:retail,1,99.94921279837482
662,113,Craft tekst,1,99.95485582077761
663,490,Saschas Familjearbete AB,1,99.9604988431804
664,374,Mizuno,1,99.96614186558321
665,466,Ronneby Brunn,1,99.971784887986
666,254,Högberg Buss AB,1,99.9774279103888
667,512,Snickeriportalen,1,99.9830709327916
668,243,Hotel Plaza,1,99.9887139551944
669,439,Presto,1,99.9943569775972
670,227,Hammarby Construction AB,1,100.0
