epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,10628.4,0.42664,0.34229,1.31134,0.79406,0.731,0.82911,0.7168,0.67282,0.79767,1.84478,0.000231336,0.000231336,0.000231336
171,10688.6,0.42659,0.34392,1.31513,0.75235,0.7507,0.83417,0.72475,0.67648,0.78347,1.85287,0.00022848,0.00022848,0.00022848
172,10748.3,0.43909,0.35249,1.30201,0.80109,0.7306,0.83783,0.72459,0.67632,0.77396,1.87076,0.000225624,0.000225624,0.000225624
173,10808.1,0.42942,0.34631,1.33795,0.77684,0.74066,0.84137,0.72901,0.66799,0.7781,1.92119,0.000222768,0.000222768,0.000222768
174,10868.2,0.43027,0.34172,1.34094,0.80208,0.7168,0.84154,0.72549,0.68017,0.788,1.8746,0.000219912,0.000219912,0.000219912
175,10928.4,0.43134,0.34163,1.29758,0.82902,0.70698,0.83707,0.72146,0.67803,0.79792,1.86917,0.000217056,0.000217056,0.000217056
176,10988.8,0.42409,0.33673,1.30853,0.81256,0.71351,0.8222,0.71566,0.67831,0.80394,1.82865,0.0002142,0.0002142,0.0002142
177,11049.2,0.42783,0.345,1.31252,0.77381,0.75034,0.82727,0.71861,0.67662,0.80461,1.87444,0.000211344,0.000211344,0.000211344
178,11109.4,0.43177,0.33861,1.28361,0.7751,0.73248,0.82409,0.7182,0.66656,0.7764,1.85403,0.000208488,0.000208488,0.000208488
179,11170.1,0.42094,0.3374,1.29607,0.76103,0.74169,0.83593,0.72499,0.67484,0.79091,1.89091,0.000205632,0.000205632,0.000205632
180,11229.6,0.41768,0.33805,1.29605,0.80202,0.72488,0.83597,0.72748,0.67114,0.77905,1.89725,0.000202776,0.000202776,0.000202776
181,11290.4,0.42082,0.33494,1.29686,0.76917,0.75336,0.84612,0.732,0.67357,0.763,1.85581,0.00019992,0.00019992,0.00019992
182,11351.1,0.42515,0.34106,1.31532,0.76189,0.73542,0.83489,0.72927,0.67575,0.79551,1.88203,0.000197064,0.000197064,0.000197064
183,11411,0.42342,0.33629,1.31821,0.7615,0.74023,0.83347,0.72613,0.67411,0.78089,1.89702,0.000194208,0.000194208,0.000194208
184,11470.7,0.41152,0.33252,1.30677,0.71179,0.77065,0.83298,0.72336,0.66951,0.76429,1.84173,0.000191352,0.000191352,0.000191352
185,11531.1,0.41505,0.33265,1.30389,0.75887,0.74132,0.83823,0.72736,0.66918,0.76923,1.85165,0.000188496,0.000188496,0.000188496
186,11591.6,0.41916,0.32999,1.34164,0.81661,0.70861,0.8358,0.71878,0.67397,0.78239,1.91413,0.00018564,0.00018564,0.00018564
187,11651.4,0.42105,0.33467,1.32494,0.74785,0.75361,0.82964,0.71878,0.66881,0.78797,1.89049,0.000182784,0.000182784,0.000182784
188,11711.1,0.42009,0.33639,1.31933,0.80236,0.71413,0.83483,0.72446,0.67118,0.78249,1.87178,0.000179928,0.000179928,0.000179928
189,11771.6,0.4101,0.33284,1.31412,0.7976,0.7374,0.83249,0.72604,0.66594,0.78183,1.82702,0.000177072,0.000177072,0.000177072
190,11832,0.41199,0.32991,1.26724,0.787,0.72719,0.83617,0.72732,0.66947,0.78706,1.87296,0.000174216,0.000174216,0.000174216
191,11922.3,0.39891,0.31312,1.29453,0.76445,0.74203,0.82989,0.72033,0.68502,0.79994,1.88221,0.00017136,0.00017136,0.00017136
192,11979.9,0.39171,0.30776,1.31274,0.77027,0.74691,0.8303,0.71932,0.68191,0.77029,1.89242,0.000168504,0.000168504,0.000168504
193,12037.4,0.39481,0.3079,1.28833,0.72194,0.7708,0.82538,0.7164,0.68121,0.77741,1.85014,0.000165648,0.000165648,0.000165648
194,12093.9,0.3845,0.30316,1.28068,0.79522,0.72027,0.83288,0.72098,0.67845,0.77663,1.90506,0.000162792,0.000162792,0.000162792
195,12150.9,0.38955,0.3029,1.29385,0.80829,0.71613,0.83111,0.72274,0.67666,0.77783,1.85442,0.000159936,0.000159936,0.000159936
196,12207.4,0.38154,0.29943,1.30188,0.7485,0.76352,0.83254,0.71951,0.6822,0.77242,1.91607,0.00015708,0.00015708,0.00015708
197,12264.4,0.38682,0.30276,1.29597,0.75613,0.74729,0.83234,0.72164,0.68553,0.78164,1.91209,0.000154224,0.000154224,0.000154224
198,12320.7,0.37925,0.29584,1.29772,0.78877,0.73015,0.83411,0.72346,0.68363,0.78693,1.88835,0.000151368,0.000151368,0.000151368
199,12377.8,0.36903,0.28886,1.30929,0.73459,0.76198,0.84113,0.72517,0.68405,0.78149,1.86167,0.000148512,0.000148512,0.000148512
200,12434.1,0.37873,0.29596,1.25324,0.80085,0.72012,0.82755,0.71853,0.6831,0.79022,1.85592,0.000145656,0.000145656,0.000145656
