epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2740.02,0.65741,0.59875,1.47585,0.75122,0.72814,0.81681,0.6953,0.73412,0.98487,1.80997,0.000596904,0.000596904,0.000596904
43,2802.75,0.66732,0.60555,1.4869,0.71435,0.72466,0.8072,0.688,0.73257,0.97988,1.74631,0.000594048,0.000594048,0.000594048
44,2865.74,0.66507,0.60902,1.4754,0.75804,0.69444,0.79838,0.67457,0.74255,1.04042,1.74601,0.000591192,0.000591192,0.000591192
45,2928.97,0.65429,0.60786,1.4667,0.75289,0.7176,0.80525,0.68498,0.73216,0.98231,1.73583,0.000588336,0.000588336,0.000588336
46,2991.76,0.6448,0.58504,1.45872,0.73078,0.7199,0.80765,0.68608,0.7308,0.99673,1.72181,0.00058548,0.00058548,0.00058548
47,3055.56,0.62588,0.54546,1.43759,0.74586,0.71672,0.80817,0.69427,0.72165,0.99381,1.77017,0.000582624,0.000582624,0.000582624
48,3118.97,0.64507,0.56484,1.46373,0.73454,0.73659,0.81534,0.69896,0.72424,0.98995,1.72298,0.000579768,0.000579768,0.000579768
49,3182.29,0.64312,0.58036,1.4642,0.72555,0.72271,0.79871,0.68152,0.72671,0.98376,1.71601,0.000576912,0.000576912,0.000576912
50,3245.78,0.64816,0.57431,1.46033,0.7463,0.71851,0.81232,0.69151,0.72552,0.97634,1.75765,0.000574056,0.000574056,0.000574056
51,3309.9,0.65271,0.57656,1.50166,0.7813,0.71128,0.82214,0.69964,0.73535,0.97301,1.78866,0.0005712,0.0005712,0.0005712
52,3373.69,0.63655,0.55265,1.44845,0.77069,0.71547,0.81424,0.69406,0.74024,0.93713,1.74492,0.000568344,0.000568344,0.000568344
53,3436.84,0.63692,0.54998,1.48331,0.7964,0.69668,0.81575,0.69088,0.73491,0.96284,1.75364,0.000565488,0.000565488,0.000565488
54,3499.83,0.62717,0.54998,1.47256,0.78903,0.70581,0.82023,0.70258,0.71526,0.95406,1.81961,0.000562632,0.000562632,0.000562632
55,3563.19,0.62967,0.548,1.47913,0.75628,0.72612,0.8111,0.69382,0.72376,0.9683,1.75052,0.000559776,0.000559776,0.000559776
56,3626.67,0.61985,0.53922,1.43174,0.7692,0.72441,0.82362,0.70038,0.72421,0.95413,1.74257,0.00055692,0.00055692,0.00055692
57,3690.04,0.63191,0.55148,1.44933,0.78952,0.7113,0.82813,0.71145,0.71924,0.95912,1.73844,0.000554064,0.000554064,0.000554064
58,3752.77,0.63411,0.54688,1.47648,0.70769,0.75679,0.81979,0.7005,0.71788,0.94071,1.75802,0.000551208,0.000551208,0.000551208
59,3815.48,0.60759,0.52628,1.44723,0.78052,0.71682,0.82883,0.70275,0.72954,0.94735,1.80749,0.000548352,0.000548352,0.000548352
60,3879.72,0.60653,0.51488,1.46132,0.78915,0.71516,0.82127,0.69469,0.73379,0.94237,1.76496,0.000545496,0.000545496,0.000545496
61,3944.22,0.60799,0.51689,1.43176,0.76004,0.72336,0.8337,0.7171,0.70204,0.90757,1.78098,0.00054264,0.00054264,0.00054264
62,4007.65,0.60992,0.51806,1.44298,0.72086,0.74287,0.83159,0.70831,0.71436,0.89123,1.71795,0.000539784,0.000539784,0.000539784
63,4070.33,0.62378,0.53205,1.43923,0.76726,0.73471,0.82657,0.703,0.72205,0.94161,1.83381,0.000536928,0.000536928,0.000536928
64,4134.39,0.61304,0.5149,1.44779,0.73642,0.75277,0.82258,0.70316,0.70637,0.90152,1.73408,0.000534072,0.000534072,0.000534072
65,4198.15,0.61169,0.51039,1.43733,0.7451,0.75357,0.82282,0.70498,0.71321,0.87531,1.76074,0.000531216,0.000531216,0.000531216
66,4261.68,0.60098,0.51464,1.47885,0.75755,0.73214,0.83517,0.71123,0.72717,0.91532,1.71506,0.00052836,0.00052836,0.00052836
67,4325,0.59175,0.49294,1.4447,0.78675,0.71058,0.82456,0.70497,0.71386,0.94631,1.73779,0.000525504,0.000525504,0.000525504
68,4388.05,0.58237,0.4948,1.40043,0.79285,0.71143,0.8324,0.71299,0.71213,0.91497,1.73601,0.000522648,0.000522648,0.000522648
